Run,Count,Cheat,Terminal,Size,Depth,Speed,Angle,Reward,Gain,From Start,To Middle,Distracted,Time,Duration,Optimal,Combined,Agent,Driver
1,1,0,0,64,1,17.4172325120,0.0094388368,0.9862591603,0.9862591603,168.9221343994,0.0153152467,0,13.6680000000,16.1659999046,0.0042819128,0.0,0.0,0.0
1,2,0,0,10,1,17.4080696064,0.0154408224,1.9638791365,0.9776199762,170.6979522705,0.0153369903,0,13.7700000000,16.1659999046,0.0180268496,0.1000000000,0.1000000000,0.0
1,3,0,0,10,1,17.3693828608,0.0055274088,2.9558094036,0.9919302671,172.4717407226,0.0135602317,0,13.8720000000,16.1659999046,0.0294897952,0.2500000000,0.2500000000,0.0
1,4,0,0,10,1,17.2881622272,0.0191845696,3.9280790425,0.9722696388,174.2407379150,0.0065415701,0,13.9740000000,16.1659999046,0.0105565728,1.0,1.0,0.0
1,5,0,0,10,1,17.2453575168,0.0752869376,4.8235898823,0.8955108397,175.9966430664,0.0306316372,0,14.0760000000,16.1659999046,0.0366398272,-1.0,-1.0,0.0
1,6,0,0,19,1,17.0533256544,0.0425613600,5.7631067821,0.9395168997,177.7477111816,0.0560438148,0,14.1780000000,16.1659999046,0.1437874560,-1.0,-1.0,0.1000000000
1,7,0,0,10,1,17.0081024168,0.0763293824,6.6572502517,0.8941434696,179.4778747558,0.0100050605,0,14.2800000000,16.1659999046,0.0812862080,0.4000000000,0.5000000000,0.1000000000
1,8,0,0,10,1,16.8485393408,0.0531756800,7.5822621329,0.9250118812,181.2049102783,0.0309054683,0,14.3820000000,16.1659999046,0.1457783680,1.0,1.0,0.1000000000
1,9,0,0,10,1,16.8309707776,0.0506824896,8.5106608397,0.9283987068,182.9174041748,0.0051115672,0,14.4840000000,16.1659999046,0.1015580672,0.8999999488,-1.0,0.1000000000
1,10,0,0,10,1,16.6504268800,0.0152431200,9.4885641764,0.9779033366,184.6271057128,0.0123160043,0,14.5860000000,16.1659999046,0.0967964224,-1.0,-1.0,0.1000000000
1,11,0,0,10,1,16.6207599616,0.1072763200,10.3430517923,0.8544876159,186.3162536621,0.0410452522,0,14.6880000000,16.1659999046,0.0291122144,0.2500000000,0.2500000000,0.0
1,12,0,0,19,1,16.4774837248,0.0893739968,11.2202601225,0.8772083302,188.0039978027,0.0882547348,0,14.7900000000,16.1659999046,0.2048826752,1.0,1.0,0.2500000000
1,13,0,0,18,1,16.4746284544,0.0205651104,12.1905641712,0.9703040486,189.6815643310,0.0651448592,0,14.8920000000,16.1659999046,0.1706917632,0.8999999488,-1.0,0.1000000000
1,14,0,0,19,1,16.3190364928,0.0013764873,13.1885484524,0.9979842811,191.3567657470,0.0416829437,0,14.9940000000,16.1659999046,0.0392764704,-1.0,-1.0,0.0
1,15,0,0,10,1,16.3116130816,0.0946840768,14.0589551891,0.8704067367,193.0164642333,0.0759521499,0,15.0960000000,16.1659999046,0.0026288970,0.2500000000,0.2500000000,0.0
