Run,Count,Cheat,Terminal,Size,Depth,Speed,Angle,Reward,Gain,From Start,To Middle,Distracted,Time,Duration,Optimal,Combined,Agent,Driver
1,1,0,0,16,1,17.4172325120,0.0094388368,0.9862591603,0.9862591603,168.9221343994,0.0153152467,0,13.6680000000,17.0060000572,0.0042819128,0.0,0.0,0.0
1,2,0,0,6,1,17.4186649344,0.0170392512,1.9615911666,0.9753320063,170.6983032226,0.0002552032,0,13.7700000000,17.0060000572,0.0180268496,0.0,0.0,0.0
1,3,0,0,6,1,17.4095554304,0.0245762768,2.9262067101,0.9646155434,172.4744873046,0.0148048400,0,13.8720000000,17.0060000572,0.0325425728,0.0,0.0,0.0
1,4,0,0,6,1,17.3136978176,0.0276319584,3.8865111794,0.9603044693,174.2455139160,0.0035074870,0,13.9740000000,17.0060000572,0.0469372320,0.5000000000,0.5000000000,0.0
1,5,0,0,6,1,17.2828216576,0.0978904128,4.7528365375,0.8663253580,176.0073394775,0.0551268272,0,14.0760000000,17.0060000572,0.0527731488,-1.0,-1.0,0.0
1,6,0,0,6,1,17.0049133300,0.0184878960,5.7260995963,0.9732630588,177.7557373046,0.0648564621,0,14.1780000000,17.0060000572,0.1869569152,-1.0,-1.0,0.0
1,7,0,0,6,1,16.9605197824,0.1205082112,6.5641730547,0.8380734583,179.4781799316,0.0049827573,0,14.2800000000,17.0060000572,0.0353092800,0.5000000000,0.5000000000,0.0
1,8,0,0,6,1,16.8053855744,0.1091767680,7.4162835565,0.8521105018,181.1975097656,0.0739596039,0,14.3820000000,17.0060000572,0.2301537280,1.0,1.0,0.0
1,9,0,0,6,1,16.7174968832,0.0012825839,8.4144052200,0.9981216634,182.9046936035,0.0715984329,0,14.4840000000,17.0060000572,0.2085122432,0.5000000000,0.5000000000,0.0
1,10,0,0,6,1,16.7423744000,0.0775567040,9.3069414758,0.8925362557,184.6090393066,0.0131352739,0,14.5860000000,17.0060000572,0.0024495548,-1.0,-1.0,0.0
1,11,0,0,6,1,16.6720943616,0.0014334102,10.3048424871,0.9979010112,186.3114166259,0.0018327076,0,14.6880000000,17.0060000572,0.1481224064,0.5000000000,0.5000000000,0.0
1,12,0,0,6,1,16.7050876416,0.0691217984,11.2084830008,0.9036405137,188.0136718750,0.0356395728,0,14.7900000000,17.0060000572,0.0027376118,1.0,1.0,0.0
1,13,0,0,6,1,16.7627067392,0.0114356152,12.1918595824,0.9833765816,189.7185211181,0.0378499366,0,14.8920000000,17.0060000572,0.1320129024,0.0,0.0,0.0
1,14,0,0,6,1,16.8913173504,0.0105986160,13.1764434415,0.9845838591,191.4352722167,0.0237955730,0,14.9940000000,17.0060000572,0.0218404160,0.0,0.0,0.0
1,15,0,0,6,1,16.8657436672,0.0226935216,14.1437248818,0.9672814403,193.1583099365,0.0237467456,0,15.0960000000,17.0060000572,0.0202418640,0.5000000000,0.5000000000,0.0
1,16,0,0,6,1,16.8901328896,0.0692283520,15.0472242719,0.9034993900,194.8806915283,0.0586100257,0,15.1980000000,17.0060000572,0.0433414368,1.0,1.0,0.0
1,17,0,0,6,1,16.9510097920,0.0053032452,16.0394805359,0.9922562640,196.6049652099,0.0505126938,0,15.3000000000,17.0060000572,0.1322164096,0.0,0.0,0.0
1,18,0,0,6,1,17.0815105408,0.0227809216,17.0066380601,0.9671575241,198.3405914306,0.0249348953,0,15.4020000000,17.0060000572,0.0101284512,0.0,0.0,0.0
1,19,0,0,6,1,17.0567989376,0.0044306912,18.0001642831,0.9935262229,200.0827636718,0.0127766923,0,15.5040000000,17.0060000572,0.0435083552,0.5000000000,0.5000000000,0.0
1,20,0,0,6,1,17.0781173696,0.0438680384,18.9378833336,0.9377190505,201.8245697021,0.0359212234,0,15.6060000000,17.0060000572,0.0084619968,1.0,1.0,0.0
1,21,0,0,6,1,17.0968627904,0.0241300944,19.9031299868,0.9652466531,203.5660247802,0.0156005863,0,15.7080000000,17.0060000572,0.0837817792,-1.0,-1.0,0.0
1,22,0,0,6,1,17.1890792832,0.0237585552,20.8689024855,0.9657724987,205.3126220703,0.0014160156,0,15.8100000000,17.0060000572,0.0460850848,0.0,0.0,0.0
1,23,0,0,6,1,17.1595993088,0.0108601392,21.8531089658,0.9842064803,207.0651092529,0.0022460937,0,15.9120000000,17.0060000572,0.0453754976,0.5000000000,0.5000000000,0.0
1,24,0,0,6,1,17.1785755136,0.0568937280,22.7730930808,0.9199841150,208.8163299560,0.0336425788,0,16.0140000000,17.0060000572,0.0207413376,1.0,1.0,0.0
1,25,0,0,6,1,17.1946887936,0.0050325776,23.7657431145,0.9926500336,210.5683288574,0.0261800121,0,16.1160000000,17.0060000572,0.1086590080,-1.0,-1.0,0.0
1,26,0,0,6,1,17.2832660736,0.0023190202,24.7623495008,0.9966063863,212.3255310058,0.0224365238,0,16.2180000000,17.0060000572,0.0096115144,0.0,0.0,0.0
1,27,0,0,6,1,17.3582019840,0.0164224400,25.7385637683,0.9762142675,214.0925445556,0.0076660155,0,16.3200000000,17.0060000572,0.0044290024,0.0,0.0,0.0
1,28,0,0,6,1,17.2911567616,0.0198343840,26.7099077174,0.9713439491,215.8601074218,0.0095133464,0,16.4220000000,17.0060000572,0.0313645504,0.5000000000,0.5000000000,0.0
1,29,0,0,6,1,17.2759418368,0.0682389632,27.6147184109,0.9048106934,217.6224212646,0.0486572273,0,16.5240000000,17.0060000572,0.0378808832,1.0,1.0,0.0
1,30,0,0,6,1,17.3106784768,0.0008704569,28.6134432469,0.9987248359,219.3847808837,0.0424601249,0,16.6260000000,17.0060000572,0.1303268224,0.0,0.0,0.0
1,31,0,0,6,1,17.2613773312,0.0256224480,29.5765806364,0.9631373895,221.1498260498,0.0405069999,0,16.7280000000,17.0060000572,0.0016624503,0.5000000000,0.5000000000,0.0
1,32,0,0,6,1,17.2618961408,0.0657420032,30.4847092154,0.9081285790,222.9119110107,0.0696940124,0,16.8300000000,17.0060000572,0.0489352672,1.0,1.0,0.0
1,33,0,0,6,1,17.2754116096,0.0043040904,31.4784198347,0.9937106193,224.6732330322,0.0525919608,0,16.9320000000,17.0060000572,0.1255579776,-1.0,-1.0,0.0
1,34,0,0,6,1,17.3350524928,0.0074876864,32.4675038670,0.9890840323,226.4383087158,0.0352620445,0,17.0340000000,17.0060000572,0.0082202072,0.0,0.0,0.0
1,35,0,0,6,1,17.2809181184,0.0217082544,33.4361833401,0.9686794730,228.2047271728,0.0304890945,1,17.1360000000,18.1939999666,0.0143004272,0.5000000000,0.5000000000,0.0
1,36,0,0,6,1,17.2736683008,0.0613663168,34.3501555454,0.9139722053,229.9677429199,0.0591715499,1,17.2380000000,18.1939999666,0.0414597088,1.0,1.0,0.0
1,37,0,0,6,1,17.2829894912,0.0094883792,35.3363430824,0.9861875369,231.7296600341,0.0418823249,1,17.3400000000,18.1939999666,0.1172010240,-1.0,-1.0,0.0
1,38,0,0,6,1,17.3393287680,0.0133972168,36.3168960695,0.9805529871,233.4944763183,0.0240478515,1,17.4420000000,18.1939999666,0.0181214704,0.0,0.0,0.0
1,39,0,0,6,1,17.2840805120,0.0153180320,37.2946920277,0.9777959581,235.2610168457,0.0188883468,1,17.5440000000,18.1939999666,0.0255867984,0.5000000000,0.5000000000,0.0
1,40,0,0,6,1,17.2756805376,0.0540627904,38.2185018107,0.9238097829,237.0238952636,0.0468180328,1,17.6460000000,18.1939999666,0.0292552864,1.0,1.0,0.0
1,41,0,0,6,1,17.2864055552,0.0177085888,39.1928773268,0.9743755161,238.7856292724,0.0283569339,1,17.7480000000,18.1939999666,0.1032523200,-1.0,-1.0,0.0
1,42,0,0,6,1,17.3426990592,0.0225458464,40.1603681807,0.9674908538,240.5504150390,0.0089558921,1,17.8500000000,18.1939999666,0.0338209120,0.0,0.0,0.0
1,43,0,0,6,1,17.2887515904,0.0053733388,41.1525224976,0.9921543168,242.3167266845,0.0022786457,1,17.9520000000,18.1939999666,0.0430593952,0.5000000000,0.5000000000,0.0
1,44,0,0,6,1,17.2788219392,0.0429903552,42.0914487627,0.9389262651,244.0795745849,0.0286417640,1,18.0540000000,18.1939999666,0.0102623208,1.0,1.0,0.0
1,45,0,0,6,1,17.2872581376,0.0301348896,43.0482363524,0.9567875897,245.8407287597,0.0081013999,1,18.1560000000,18.1939999666,0.0821055296,-1.0,-1.0,0.0
1,46,0,0,6,1,17.2129402112,0.0155317120,44.0257260866,0.9774897341,247.5993041992,0.0078084310,1,18.2580000000,18.1939999666,0.0575533952,0.5000000000,0.5000000000,0.0
1,47,0,0,6,1,17.2298374144,0.0623805312,44.9383404954,0.9126144088,249.3560180664,0.0430501289,0,18.3600000000,20.3779998855,0.0296633824,1.0,1.0,0.0
1,48,0,0,6,1,17.2494087168,0.0051527060,45.9308157456,0.9924752502,251.1139068603,0.0334147140,0,18.4620000000,20.3779998855,0.1191380352,-1.0,-1.0,0.0
1,49,0,0,6,1,17.3259048448,0.0056352496,46.9225892206,0.9917734749,252.8763275146,0.0234130863,0,18.5640000000,20.3779998855,0.0098409440,0.0,0.0,0.0
1,50,0,0,6,1,17.2762107904,0.0269029088,47.8839205028,0.9613312822,254.6416931152,0.0258463546,0,18.6660000000,20.3779998855,0.0107625328,0.5000000000,0.5000000000,0.0
1,51,0,0,6,1,17.2719707392,0.0689984192,48.7877244663,0.9038039635,256.4039306640,0.0615030936,0,18.7680000000,20.3779998855,0.0513807712,1.0,1.0,0.0
1,52,0,0,6,1,17.2819213824,0.0000135414,49.7877046165,0.9999801502,258.1660766601,0.0498413071,0,18.8700000000,20.3779998855,0.1317772672,-1.0,-1.0,0.0
1,53,0,0,6,1,17.3402595584,0.0016573146,50.7852781553,0.9975735388,259.9317932128,0.0372273772,0,18.9720000000,20.3779998855,0.0000258622,0.0,0.0,0.0
1,54,0,0,6,1,17.2851142912,0.0298495296,51.7424660536,0.9571878982,261.6987609863,0.0371093750,0,19.0740000000,20.3779998855,0.0031652376,0.5000000000,0.5000000000,0.0
1,55,0,0,6,1,17.2784500224,0.0708744064,52.6437880101,0.9013219564,263.4620666503,0.0702311173,0,19.1760000000,20.3779998855,0.0570084032,1.0,1.0,0.0
1,56,0,0,6,1,17.2930946304,0.0110505856,53.6277197691,0.9839317589,265.2268066406,0.0550821945,0,19.2780000000,20.3779998855,0.1353601536,-1.0,-1.0,0.0
1,57,0,0,6,1,17.0592632320,0.0004184916,54.6271065023,0.9993867332,266.9832153320,0.0376017242,0,19.3800000000,20.3779998855,0.0211050640,-1.0,-1.0,0.0
1,58,0,0,6,1,17.0353603360,0.0669160960,55.5336734758,0.9065669735,268.7198486328,0.0549845360,0,19.4820000000,20.3779998855,0.0007992601,0.5000000000,0.5000000000,0.0
1,59,0,0,6,1,17.0122585296,0.0242886864,56.4986957610,0.9650222851,270.4583740234,0.0361165367,0,19.5840000000,20.3779998855,0.1278003200,0.5000000000,0.5000000000,0.0
1,60,0,0,6,1,17.0682048768,0.1555036288,57.2948611905,0.7961654294,272.1871643066,0.0584757477,0,19.6859999999,20.3779998855,0.0463879712,-1.0,-1.0,0.0
1,61,0,0,11,1,16.8116626944,0.1503696384,58.0970409771,0.8021797865,273.9010009765,0.1396443694,0,19.7879999999,20.3779998855,0.2969900288,-1.0,-1.0,0.5000000000
1,62,0,0,6,1,16.5430583808,0.0706614272,58.9986443757,0.9016033986,275.5894775390,0.1653137207,0,19.8899999999,20.3779998855,0.2871848704,-1.0,-1.0,0.5000000000
1,63,0,0,11,1,16.5087394816,0.0312800864,59.9538271445,0.9551827688,277.2593383789,0.1305297911,0,19.9919999999,20.3779998855,0.1349533824,1.0,1.0,0.0
1,64,0,0,6,1,16.5187168256,0.0353693408,60.9033013691,0.9494742245,278.9349975585,0.1110249832,0,20.0939999999,20.3779998855,0.0597405632,0.5000000000,0.5000000000,0.0
1,65,0,0,6,1,16.5951804928,0.1312618880,61.7282674471,0.8249660780,280.6158447265,0.1495951265,0,20.1959999999,20.3779998855,0.0675504640,-1.0,-1.0,0.0
1,66,0,0,11,1,16.3526573056,0.0882651776,62.6069027346,0.8786352874,282.2861938476,0.1638488769,0,20.2979999999,20.3779998855,0.2506917376,-1.0,-1.0,0.5000000000
1,67,0,0,11,1,16.3582134272,0.0096451904,63.5928636090,0.9859608743,283.9393920898,0.1231241896,0,20.3999999999,20.3779998855,0.1685740800,1.0,1.0,0.0
1,68,0,0,6,1,16.5172252672,0.0132017472,64.5736975970,0.9808339879,285.6072998046,0.0778645798,1,20.5019999999,21.5599999666,0.0184209552,0.0,0.0,0.0
1,69,0,0,6,1,16.6844081664,0.0047585888,65.5667463905,0.9930487935,287.2950134277,0.0444986969,1,20.6039999999,21.5599999666,0.0252134784,0.0,0.0,0.0
1,70,0,0,6,1,16.8482551808,0.0128182008,66.5481319875,0.9813855969,289.0015869140,0.0316080711,1,20.7059999999,21.5599999666,0.0090882352,0.0,0.0,0.0
1,71,0,0,6,1,16.8504200192,0.0182676944,67.5217092535,0.9735772660,290.7181701660,0.0138834631,1,20.8079999999,21.5599999666,0.0244809600,0.5000000000,0.5000000000,0.0
1,72,0,0,6,1,16.9018611712,0.0577737088,68.4405074113,0.9187981577,292.4373168945,0.0296630859,1,20.9099999999,21.5599999666,0.0348887264,1.0,1.0,0.0
1,73,0,0,6,1,16.9501667328,0.0144316048,69.4195747341,0.9790673228,294.1615905761,0.0205647777,1,21.0119999999,21.5599999666,0.1103396608,-1.0,-1.0,0.0
1,74,0,0,6,1,17.0697288512,0.0217906864,70.3881371614,0.9685624272,295.8935546875,0.0062540690,1,21.1139999999,21.5599999666,0.0275623328,0.0,0.0,0.0
1,75,0,0,6,1,17.0643177024,0.0005734205,71.3872969539,0.9991597925,297.6337585449,0.0004150390,1,21.2159999999,21.5599999666,0.0416171424,0.5000000000,0.5000000000,0.0
1,76,0,0,6,1,17.1079158784,0.0318741376,72.3416483067,0.9543513527,299.3761291503,0.0215860996,1,21.3179999999,21.5599999666,0.0010951526,1.0,1.0,0.0
1,77,0,0,6,1,17.1472301440,0.0478701824,73.2738822155,0.9322339087,301.1194152832,0.0069702146,1,21.4199999999,21.5599999666,0.0608751168,-1.0,-1.0,0.0
1,78,0,0,6,1,16.9217110016,0.0047600032,74.2669289503,0.9930467347,302.8556518554,0.0156127931,1,21.5219999999,21.5599999666,0.0914253056,-1.0,-1.0,0.0
1,79,0,0,6,1,16.9012774912,0.1035524800,75.1260936863,0.8591647359,304.5718994140,0.0373657234,1,21.6239999999,21.5599999666,0.0090909360,0.5000000000,0.5000000000,0.0
1,80,0,0,6,1,16.7844467200,0.0650574720,76.0351339668,0.9090402805,306.2905578613,0.0726074203,0,21.7259999999,25.1040000190,0.1977706752,1.0,1.0,0.0
1,81,0,0,6,1,16.8075332608,0.0526002656,76.9609264068,0.9257924399,307.9972229003,0.0346679687,0,21.8279999999,25.1040000190,0.1242506112,-1.0,-1.0,0.0
1,82,0,0,6,1,16.6857719296,0.0446897184,77.8975166760,0.9365902692,309.7049255371,0.0067464192,0,21.9299999999,25.1040000190,0.1004590976,-1.0,-1.0,0.0
1,83,0,0,6,1,16.6878356992,0.0530684224,78.8226740013,0.9251573253,311.3996887207,0.0113037107,0,22.0319999999,25.1040000190,0.0853510720,0.5000000000,0.5000000000,0.0
1,84,0,0,6,1,16.5952854016,0.0102647384,79.8077398536,0.9850658522,313.0972595214,0.0190348308,0,22.1339999999,25.1040000190,0.1013532224,1.0,1.0,0.0
1,85,0,0,6,1,16.6305179648,0.1199525248,80.6464962553,0.8387564016,314.7805480957,0.0436848960,0,22.2359999999,25.1040000190,0.0196042064,-1.0,-1.0,0.0
1,86,0,0,6,1,16.5116977664,0.1188750592,81.4865784606,0.8400822053,316.4655456542,0.1063395217,0,22.3379999999,25.1040000190,0.2290924544,-1.0,-1.0,0.0
1,87,0,0,6,1,16.2732028928,0.0091751664,82.4732188907,0.9866404300,318.1319885253,0.0997233092,0,22.4399999999,25.1040000190,0.2270346240,-1.0,-1.0,0.0
1,88,0,0,6,1,16.2872924928,0.1375831040,83.2905760594,0.8173571687,319.7768554687,0.0153971351,0,22.5419999999,25.1040000190,0.0175232768,0.5000000000,0.5000000000,0.0
1,89,0,0,11,1,16.2048053760,0.1228828032,84.1257373927,0.8351613332,321.4264526367,0.0655273422,0,22.6439999999,25.1040000190,0.2627643648,1.0,1.0,0.5000000000
1,90,0,0,11,1,16.0360813152,0.0033533088,85.1208339352,0.9950965425,323.0682067871,0.0685791000,0,22.7459999999,25.1040000190,0.2346888448,1.0,1.0,0.0
1,91,0,0,6,1,16.0793552384,0.1572175872,85.9150015464,0.7941676111,324.6912841796,0.0165852867,0,22.8479999999,25.1040000190,0.0064043480,-1.0,-1.0,0.0
1,92,0,0,11,1,15.9660405760,0.1621666816,86.7034285391,0.7884269927,326.3153381347,0.1075276657,0,22.9499999999,25.1040000190,0.3002634752,-1.0,-1.0,0.5000000000
1,93,0,0,6,1,15.7680988160,0.0619843456,87.6165731038,0.9131445647,327.9273071289,0.1286865174,0,23.0519999999,25.1040000190,0.3097155328,-1.0,-1.0,0.5000000000
1,94,0,0,11,1,15.8199252992,0.0637360640,88.5273759133,0.9108028094,329.5263061523,0.0733723938,0,23.1539999999,25.1040000190,0.1183813760,1.0,1.0,0.0
