Run,Count,Cheat,Terminal,Size,Depth,Speed,Angle,Reward,Gain,From Start,To Middle,Distracted,Time,Duration,Optimal,Combined,Agent,Driver
1,29,0,0,11,1,16.3874988544,0.0439012960,26.7678202479,0.9376733400,217.1125946044,0.0091389976,1,16.5240000000,17.9260001335,0.0475677472,-1.0,-1.0,0.5000000000
1,30,0,0,11,1,16.4526729728,0.0133673624,27.7484161468,0.9805958988,218.7838134765,0.0147135416,1,16.6260000000,17.9260001335,0.0838452928,0.0,0.5000000000,0.5000000000
1,31,0,0,11,1,16.4420757504,0.0271854912,28.7093493029,0.9609331561,220.4619445800,0.0000651041,1,16.7280000000,17.9260001335,0.0255297808,0.5000000000,0.0,0.5000000000
1,32,0,0,11,1,16.4863624704,0.0751121216,29.6050896572,0.8957403542,222.1404418945,0.0480102524,1,16.8300000000,17.9260001335,0.0519204608,0.5000000000,1.0,0.5000000000
1,33,0,0,11,1,16.4618186752,0.0192987936,30.5771965142,0.9721068570,223.8206634521,0.0364827476,1,16.9320000000,17.9260001335,0.1434535808,0.5000000000,1.0,0.5000000000
1,34,0,0,11,1,16.5106849792,0.1145473792,31.4226249988,0.8454284845,225.4981231689,0.0364257805,1,17.0340000000,17.9260001335,0.0368579808,-1.0,-1.0,0.5000000000
1,35,0,0,11,1,16.2595157504,0.0651942592,32.3314830295,0.9088580307,227.1657257080,0.0742228180,1,17.1360000000,17.9260001335,0.2187693824,-1.0,-1.0,0.5000000000
1,36,0,0,11,1,16.2527332352,0.0379843712,33.2773245996,0.9458415700,228.8161468505,0.0458984375,1,17.2380000000,17.9260001335,0.1245118592,0.5000000000,1.0,0.5000000000
1,37,0,0,11,1,16.2407321856,0.0116390936,34.2604079086,0.9830833090,230.4715270996,0.0328247062,1,17.3400000000,17.9260001335,0.0725448064,0.5000000000,1.0,0.5000000000
1,38,0,0,11,1,16.2978916096,0.0875847360,35.1399200223,0.8795121137,232.1293487548,0.0717163085,1,17.4420000000,17.9260001335,0.0222290304,-1.0,-1.0,0.5000000000
1,39,0,0,11,1,16.0475540160,0.0241194704,36.1051817095,0.9652616871,233.7764892578,0.0735026076,1,17.5440000000,17.9260001335,0.1672745216,-1.0,-1.0,0.5000000000
1,40,0,0,11,1,16.0465831744,0.0955906240,36.9744325548,0.8692508453,235.4026489257,0.0094767250,1,17.6460000000,17.9260001335,0.0460647936,0.5000000000,1.0,0.5000000000
1,41,0,0,11,1,16.0392055520,0.0632102720,37.8859376279,0.9115050730,237.0365600585,0.0382486991,1,17.7480000000,17.9260001335,0.1825646336,0.5000000000,1.0,0.5000000000
1,42,0,0,6,1,16.1091251328,0.0051450840,38.8784239672,0.9924863393,238.6781616210,0.0340332016,1,17.8500000000,17.9260001335,0.1207227136,0.5000000000,0.0,0.5000000000
1,43,0,0,11,1,16.1557388288,0.0102058720,39.8635748250,0.9851508577,240.3248291015,0.0366861969,1,17.9520000000,17.9260001335,0.0098263864,0.5000000000,1.0,0.5000000000
1,44,1,0,6,1,16.1982135808,0.0451279232,40.7995636661,0.9359888411,241.9746398925,0.0003377278,0,18.0540000000,19.1119999666,0.0194917808,-1.0,-1.0,0.0
1,45,0,0,16,1,16.2757053440,0.0178883392,41.7736824752,0.9741188090,243.6272430419,0.0103922523,0,18.1560000000,19.1119999666,0.0861879808,0.0,0.0,0.0
1,46,0,0,6,1,16.2774143232,0.0188314144,42.7464555676,0.9727730924,245.2877502441,0.0019612631,0,18.2580000000,19.1119999666,0.0341642080,0.5000000000,0.5000000000,0.0
