Simulations,Average Reward,Standard Deviation,Standard Error,Min,Max,Cheat,Terminal
10,15.78176,7.65753,2.42152,3.87735,31.79231,10,10
100,190.91785,257.07867,81.29541,13.81239,927.51125,9,9
200,593.26208,374.00498,118.27076,62.76007,957.76655,5,5
300,924.49917,77.11906,24.38719,759.30866,964.83185,2,2
400,962.17818,1.24327,0.39315,959.61112,963.88834,0,0
500,961.52276,0.70833,0.22399,960.05516,962.45916,0,0
750,957.60688,1.17280,0.37087,954.51633,958.85023,0,0
1000,956.49962,0.94002,0.29726,954.62073,957.70208,0,0
1500,862.31445,285.09847,90.15605,7.02323,958.91714,1,1
2500,966.17428,1.74268,0.55108,963.24229,968.76765,0,0
5000,980.58581,0.55460,0.17538,979.86569,981.60964,0,0
7500,983.04669,0.73794,0.23335,981.93776,984.00486,0,0
10000,662.71412,388.26983,122.78170,11.00779,988.52453,5,5
