Simulations,Average Reward,Standard Deviation,Standard Error,Min,Max,Cheat,Terminal
10,15.50408,11.29918,1.59794,2.45059,52.69016,50,50
100,83.18434,72.81409,10.29746,4.60190,338.85902,50,50
200,227.17582,187.85941,26.56733,3.87137,882.45694,50,50
300,361.64549,316.14097,44.70908,4.34914,962.78931,44,44
400,422.66889,345.71317,48.89122,10.26257,963.49481,43,42
500,471.67234,324.04415,45.82676,13.95169,963.86479,40,40
750,465.63361,338.58174,47.88268,13.22468,961.60531,40,40
1000,479.22091,340.63956,48.17370,18.04552,959.23948,40,40
1500,593.98996,356.36208,50.39720,20.17806,959.98727,30,30
2500,836.90793,244.17326,34.53131,38.73571,968.18440,15,15
5000,918.33797,226.92121,32.09150,18.02271,982.03142,4,4
7500,867.35782,312.61435,44.21034,3.87632,983.99271,6,6
10000,893.38698,271.24867,38.36035,2.53996,984.36730,5,5
